,name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,Annie,,1326.0,1492.0,1589.0,1739.0,1703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Clara,,,,1548.0,1852.0,1910.0,1916.0,1984.0,,2319.0,2496.0,,2661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Florence,,,,,,,1860.0,1964.0,2444.0,2465.0,2744.0,2716.0,3154.0,3231.0,3233.0,3471.0,3323.0,3369.0,3790.0,3314.0,3920.0,3131.0,3509.0,3468.0,3572.0,,3691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ethel,,,,,,,,,2374.0,2463.0,2718.0,2689.0,3035.0,3119.0,3287.0,3391.0,3502.0,3182.0,3531.0,2999.0,3896.0,3067.0,3295.0,3257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bessie,,,,,,,,,2278.0,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Helen,,,,,,,,,,,,2417.0,2936.0,3249.0,3676.0,4023.0,4392.0,4519.0,5230.0,5048.0,6342.0,5247.0,5967.0,6129.0,6488.0,6811.0,7176.0,7579.0,8439.0,9250.0,10479.0,11801.0,16133.0,18888.0,23221.0,30866.0,32661.0,34251.0,36148.0,33706.0,35097.0,34822.0,32510.0,31486.0,31194.0,29173.0,26885.0,25317.0,22937.0,20982.0,19913.0,17664.0,16376.0,14644.0,14101.0,12784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ruth,,,,,,,,,,,,,3290.0,3658.0,3372.0,3551.0,3905.0,3878.0,4249.0,3912.0,4765.0,3974.0,4384.0,4517.0,4900.0,5068.0,5140.0,5573.0,6180.0,6509.0,7212.0,8003.0,11280.0,12609.0,15839.0,21878.0,23189.0,23568.0,25535.0,24562.0,26102.0,25783.0,23633.0,23638.0,23600.0,22247.0,20225.0,19412.0,17859.0,16022.0,14942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Marie,,,,,,,,,,,,,,,2649.0,3011.0,3087.0,3078.0,3435.0,3156.0,3856.0,3157.0,3424.0,3469.0,3595.0,3643.0,,3880.0,4076.0,4301.0,4790.0,5017.0,6642.0,7353.0,8829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Lillian,,,,,,,,,,,,,,,,,,,3061.0,2703.0,3414.0,2681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mildred,,,,,,,,,,,,,,,,,,,,,,,,3088.0,3525.0,3758.0,3873.0,4277.0,4624.0,5054.0,5692.0,6271.0,8764.0,9921.0,11649.0,15254.0,15633.0,16256.0,17258.0,17300.0,18060.0,17880.0,16412.0,15989.0,15853.0,14453.0,13548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
